tanggal,so2_mean,so2_max,so2_15_mean,so2_mean_DU,so2_max_DU,so2_15_mean_DU
2018-11-29,0.00014581832117161543,0.0006387722194079996,5.3490554246059656e-05,0.32680073049376596,1.4315843595262383,0.1198803556485566
2018-11-30,0.00013480389523078698,0.00038537531551945196,-1.4988061098089202e-05,0.30211574979647826,0.8636838883764197,-0.033590493129982614
2018-12-01,0.00013533657067381127,0.0010840058093892163,3.0296210364937112e-05,0.30330955536561216,2.4294196197126423,0.06789835185937881
2018-12-02,0.00017692061374325683,0.0011046438883574885,5.446961654233852e-05,0.39650563349070006,2.4756726503923856,0.12207458111386198
2018-12-03,0.0002231893320143154,0.0005065520583824255,6.3655044093641e-05,0.500200771443883,1.1352591456437728,0.14266050207046352
2018-12-04,0.00047298384930409966,0.0009628486398039291,5.783436748082261e-05,1.060027753867883,2.1578882290965757,0.1296154926796456
2018-12-05,-5.0228918596517436e-05,0.00018392033134119029,2.322128513153419e-06,-0.11257054091258506,0.41219305058530864,0.005204238317253785
2018-12-06,0.00018998216874509388,0.001203252006732429,3.4035943654113845e-06,0.42577853748306715,2.6966682348883833,0.0076279655120417246
2018-12-07,0.00023724483484906803,0.0011204691565186052,4.400007337264774e-05,0.5317012616219888,2.511139450131672,0.09861076443910949
2018-12-08,0.00010194219079688198,0.000516862447377608,3.3476090853393015e-05,0.22846774090443206,1.1583662739403262,0.07502494101608176
2018-12-09,3.180393647692489e-06,0.0013208657066187417,1.6648402364043814e-05,0.007127739223526022,2.960258178388593,0.03731156695817679
2018-12-10,0.00018169298085862932,0.0007748700483904349,5.9446229131724045e-05,0.40720122405131715,1.7366000089502232,0.13322791641856335
2018-12-13,-2.0913569007040224e-05,0.0005118287280743518,-2.412699006650134e-06,-0.0468704451801282,1.1470849539238335,-0.005407220378753948
2018-12-14,-2.8778945575314078e-05,0.0003414261534007444,-5.7320981666277895e-06,-0.06449793387611515,0.7651872236940783,-0.012846491806137872
2018-12-15,-0.0003216257221430657,8.085309660205064e-05,-8.022770186467126e-06,-0.7208114871809317,0.1812039174496858,-0.017980231403400798
2018-12-17,7.694160098357562e-05,0.0006567216279931534,2.5941866951675567e-05,0.1724376690443405,1.4718116765768559,0.0581396151187477
2018-12-18,2.021534473595853e-05,0.0006927091631936086,3.281720144141843e-05,0.04530561985499346,1.552465141091356,0.07354827101043492
2018-12-20,9.7766140288258e-05,0.0008258277213145765,4.6880146395479796e-05,0.21910858530702945,1.8508037976241634,0.10506544009422955
2018-12-21,-4.859401091851103e-05,7.33060877428587e-05,3.608402137656109e-05,-0.10890646757002101,0.1642899385449078,0.0808697045080799
2018-12-22,8.654232379952848e-05,0.0004340522853262321,1.1970702506186348e-05,0.19395432898331325,0.9727762792588851,0.026828139921739536
2018-12-24,0.0010995177095047396,0.0013594637124898063,0.0032831628344081655,2.4641841146565473,3.0467620992465294,7.35806038633386
2018-12-27,0.0009444736667821297,0.0009444736685781,0.0015987096244444432,2.11670715830877,2.116707162333809,3.582948074823664
2018-12-28,0.0021782677867294266,0.0021782677968996316,0.0010678772329343032,4.8818248502286545,4.88182487302161,2.3932730605907135
2018-12-29,7.398138853468744e-05,0.0003519238111502822,4.284332240092895e-05,0.16580338891451477,0.788714049359455,0.09601831199884192
2018-12-30,-1.4057358242422915e-05,0.0001604265435704828,-1.4768029107972138e-06,-0.03150464842500612,0.35953994812298756,-0.003309736843533176
2018-12-31,-1.0335386591378596e-05,0.000332609006347396,-1.056203467436672e-05,-0.02316315165926814,0.7454266745754666,-0.023671104010456977
2019-01-02,0.0004812936417530476,0.0027782081907305476,0.00011386083755596717,1.0786512452148427,6.226381286655767,0.2551792160885558
2019-01-03,0.0026500754795783063,0.004612780180688967,0.0009647093003362011,5.939216661056921,10.337932301951078,2.1620582484484774
