date,so2_max_du,so2_mean_du,so2_15_du
2018-11-29,1.43158,0.326801,0.11988
2018-11-30,0.863684,0.302116,-0.0335905
2018-12-01,2.42942,0.30331,0.0678984
2018-12-02,2.47567,0.396506,0.122075
2018-12-03,1.13526,0.500201,0.142661
2018-12-04,2.15789,1.06003,0.129615
2018-12-05,0.412193,-0.112571,0.00520424
2018-12-06,2.69667,0.425779,0.00762797
2018-12-07,2.51114,0.531701,0.0986108
2018-12-08,1.15837,0.228468,0.0750249
2018-12-09,2.96026,0.00712774,0.0373116
2018-12-10,1.7366,0.407201,0.133228
2018-12-13,1.14708,-0.0468704,-0.00540722
2018-12-14,0.765187,-0.0644979,-0.0128465
2018-12-15,0.181204,-0.720811,-0.0179802
2018-12-17,1.47181,0.172438,0.0581396
2018-12-18,1.55247,0.0453056,0.0735483
2018-12-20,1.8508,0.219109,0.105065
2018-12-21,0.16429,-0.108906,0.0808697
2018-12-22,0.972776,0.193954,0.0268281
2018-12-24,3.04676,2.46418,7.35806
2018-12-27,2.11671,2.11671,3.58295
2018-12-28,4.88182,4.88182,2.39327
2018-12-29,0.788714,0.165803,0.0960183
2018-12-30,0.35954,-0.0315046,-0.00330974
2018-12-31,0.745427,-0.0231632,-0.0236711
2019-01-02,6.22638,1.07865,0.255179
2019-01-03,10.3379,5.93922,2.16206
2019-01-04,43.0414,5.12063,1.91254
2019-01-05,42.3738,8.60749,4.26215
2019-01-06,7.19852,2.29433,0.674565
2019-01-07,2.90996,0.280961,0.0437506
2019-01-08,3.06567,0.98655,0.282662
2019-01-09,1.4264,0.101224,0.0319347
2019-01-10,0.673906,-0.0526433,-0.0183202
2019-01-11,1.20998,0.315291,0.120563
2019-01-12,0.984082,0.0956781,0.0351594
2019-01-13,0.607068,0.0256344,-0.00768588
2019-01-14,0.656952,-0.275871,-0.0142085
2019-01-15,0.646946,-0.0633446,-0.0284175
2019-01-16,0.578479,0.578479,-0.0171725
