latitude,longitude,frp,bright_ti4,ts
-6.13055,105.46364,3.03,307.34,2026-09-05 00:52
-6.13011,105.42802,2.27,308.1,2026-09-05 00:52
-6.12987,105.45981,3.03,307.05,2026-09-05 00:52
-6.12943,105.42417,2.09,309.97,2026-09-05 00:52
-6.1292,105.45598,2.14,308.03,2026-09-05 00:52
-6.12875,105.42032,2.09,311.98,2026-09-05 00:52
-6.12852,105.45214,2.14,309.19,2026-09-05 00:52
-6.13237,105.40768,1.78,313.08,2026-09-05 00:52
-6.12671,105.40873,2.89,316.4,2026-09-05 00:52
-6.12603,105.40486,2.89,312.98,2026-09-05 00:52
-6.12558,105.46851,2.0,309.6,2026-09-05 00:52
-6.12534,105.40099,2.5,311.28,2026-09-05 00:52
-6.12513,105.43291,2.27,309.93,2026-09-05 00:52
-6.12466,105.39711,2.5,311.49,2026-09-05 00:52
-6.12445,105.42907,2.27,310.54,2026-09-05 00:52
-6.12398,105.39324,2.44,312.15,2026-09-05 00:52
-6.12377,105.42522,2.09,312.6,2026-09-05 00:52
-6.12626,105.47234,2.0,309.07,2026-09-05 00:52
-6.1233,105.38936,2.44,312.65,2026-09-05 00:52
-6.09374,105.38792,14.02,331.66,2026-09-05 00:52
-6.13414,105.40444,1.44,308.93,2026-09-05 00:52
-6.14618,105.40624,1.48,302.99,2026-09-05 00:52
-6.14547,105.40239,1.48,302.15,2026-09-05 00:52
-6.14346,105.42339,1.32,306.41,2026-09-05 00:52
-6.14267,105.41907,1.32,306.44,2026-09-05 00:52
-6.14192,105.41499,1.46,306.56,2026-09-05 00:52
-6.14122,105.41113,1.46,306.66,2026-09-05 00:52
-6.14051,105.40727,1.44,306.08,2026-09-05 00:52
-6.13981,105.40342,1.44,305.21,2026-09-05 00:52
-6.13373,105.41541,2.39,311.33,2026-09-05 00:52
-6.1391,105.39956,3.51,302.6,2026-09-05 00:52
-6.13804,105.40664,1.78,308.37,2026-09-05 00:52
-6.13767,105.42371,1.32,307.15,2026-09-05 00:52
-6.13736,105.40277,1.78,307.25,2026-09-05 00:52
-6.13696,105.41986,1.32,309.0,2026-09-05 00:52
-6.13626,105.41601,1.46,309.36,2026-09-05 00:52
-6.13555,105.41216,1.46,309.97,2026-09-05 00:52
-6.13485,105.4083,1.44,311.13,2026-09-05 00:52
-6.13435,105.45216,2.14,305.29,2026-09-05 00:52
-6.13872,105.41051,2.39,308.66,2026-09-05 00:52
-6.12309,105.42136,2.09,315.76,2026-09-05 00:52
-6.13305,105.41155,2.39,312.07,2026-09-05 00:52
-6.12197,105.48103,3.24,309.51,2026-09-05 00:52
-6.09474,105.45901,9.78,309.96,2026-09-05 00:52
-6.12261,105.38548,2.36,310.1,2026-09-05 00:52
-6.11137,105.48691,1.37,309.2,2026-09-05 00:52
-6.10857,105.37235,2.91,309.45,2026-09-05 00:52
-6.10599,105.4567,14.26,321.86,2026-09-05 00:52
-6.10505,105.48412,1.45,308.37,2026-09-05 00:52
-6.10437,105.4803,1.45,310.06,2026-09-05 00:52
-6.10363,105.37759,13.91,321.63,2026-09-05 00:52
-6.10299,105.37396,2.91,316.62,2026-09-05 00:52
-6.1023,105.37012,2.91,307.74,2026-09-05 00:52
-6.09974,105.45436,5.67,316.74,2026-09-05 00:52
-6.09941,105.48515,1.45,305.16,2026-09-05 00:52
-6.09873,105.48134,1.45,306.16,2026-09-05 00:52
-6.0987,105.38284,4.59,326.08,2026-09-05 00:52
-6.09806,105.37924,4.59,324.18,2026-09-05 00:52
-6.09737,105.37536,2.91,319.13,2026-09-05 00:52
-6.0966,105.37103,2.91,308.85,2026-09-05 00:52
-6.11205,105.49073,1.37,308.67,2026-09-05 00:52
-6.11353,105.36725,2.01,303.84,2026-09-05 00:52
-6.09433,105.39124,14.02,340.52,2026-09-05 00:52
-6.11488,105.37488,1.92,307.89,2026-09-05 00:52
-6.11701,105.48588,1.37,309.63,2026-09-05 00:52
-6.11762,105.3904,2.44,314.66,2026-09-05 00:52
-6.11769,105.4897,1.37,308.45,2026-09-05 00:52
-6.11831,105.39429,2.44,315.14,2026-09-05 00:52
-6.11899,105.39816,2.5,317.15,2026-09-05 00:52
-6.11968,105.40203,2.5,318.06,2026-09-05 00:52
-6.11987,105.36993,2.01,304.27,2026-09-05 00:52
-6.11419,105.37099,2.01,305.68,2026-09-05 00:52
-6.11994,105.46955,2.0,313.82,2026-09-05 00:52
-6.12036,105.40591,2.89,319.08,2026-09-05 00:52
-6.12056,105.37383,1.92,306.38,2026-09-05 00:52
-6.12062,105.47337,2.0,312.35,2026-09-05 00:52
-6.12104,105.40977,2.89,322.68,2026-09-05 00:52
-6.12124,105.3777,1.92,307.03,2026-09-05 00:52
-6.12129,105.4772,3.24,310.77,2026-09-05 00:52
-6.12193,105.38159,2.36,307.72,2026-09-05 00:52
-6.11557,105.37876,1.92,310.93,2026-09-05 00:52
-6.11625,105.38264,2.36,315.51,2026-09-05 00:52
-6.11694,105.38653,2.36,316.28,2026-09-05 00:52
-6.0893,105.45562,2.71,316.06,2026-09-05 01:11
-6.09,105.45989,2.71,312.58,2026-09-05 01:11
-6.09011,105.4148,7.91,319.39,2026-09-05 01:11
-6.09084,105.41918,8.18,342.79,2026-09-05 01:11
-6.10542,105.46162,2.75,312.42,2026-09-05 01:11
-6.10474,105.45745,5.56,314.96,2026-09-05 01:11
-6.10403,105.4532,5.56,319.27,2026-09-05 01:11
-6.10174,105.46223,2.85,312.24,2026-09-05 01:11
-6.10035,105.45381,5.64,319.26,2026-09-05 01:11
-6.09878,105.46719,2.85,309.02,2026-09-05 01:11
-6.09807,105.46291,2.85,311.72,2026-09-05 01:11
-6.09528,105.42313,8.18,347.23,2026-09-05 01:11
-6.0951,105.4678,2.18,308.92,2026-09-05 01:11
-6.09455,105.41874,8.18,339.8,2026-09-05 01:11
-6.0944,105.46355,2.18,311.38,2026-09-05 01:11
-6.09369,105.45931,2.71,313.77,2026-09-05 01:11
-6.09298,105.45502,2.71,317.22,2026-09-05 01:11
-6.09158,105.42367,8.18,351.08,2026-09-05 01:11
-6.09142,105.46841,2.18,308.44,2026-09-05 01:11
-6.09071,105.46415,2.18,310.49,2026-09-05 01:11
-6.09667,105.45442,5.64,318.24,2026-09-05 01:11
-6.08632,105.46048,5.19,311.28,2026-09-05 01:11
-6.08642,105.41542,4.54,332.79,2026-09-05 01:11
-6.06131,105.42408,2.73,307.17,2026-09-05 01:11
-6.06204,105.42846,2.73,309.07,2026-09-05 01:11
-6.065,105.42347,2.73,310.93,2026-09-05 01:11
-6.06569,105.4503,2.57,308.91,2026-09-05 01:11
-6.06573,105.42785,2.73,313.17,2026-09-05 01:11
-6.06642,105.45466,2.57,307.76,2026-09-05 01:11
-6.06796,105.41848,5.14,310.29,2026-09-05 01:11
-6.06938,105.44969,2.57,311.15,2026-09-05 01:11
-6.0701,105.45405,2.57,309.8,2026-09-05 01:11
-6.07165,105.41786,5.14,314.2,2026-09-05 01:11
-6.07461,105.41287,3.47,312.44,2026-09-05 01:11
-6.07534,105.41726,3.47,319.15,2026-09-05 01:11
-6.07831,105.41225,3.47,317.63,2026-09-05 01:11
-6.07903,105.41664,3.47,325.13,2026-09-05 01:11
-6.08117,105.45231,13.19,315.28,2026-09-05 01:11
-6.082,105.41164,4.54,322.71,2026-09-05 01:11
-6.08273,105.41602,4.54,330.75,2026-09-05 01:11
-6.0856,105.45616,5.19,314.14,2026-09-05 01:11
-6.08569,105.41103,4.54,323.26,2026-09-05 01:11
-6.10636,105.42136,6.05,337.23,2026-09-05 01:11
-6.10708,105.4257,6.35,348.56,2026-09-05 01:11
-6.1135,105.46474,1.92,308.87,2026-09-05 01:11
-6.10911,105.46101,2.75,312.07,2026-09-05 01:11
-6.10776,105.42986,6.35,341.01,2026-09-05 01:11
-6.13049,105.45299,1.75,307.59,2026-09-05 01:11
-6.12977,105.44862,1.75,308.53,2026-09-05 01:11
-6.12763,105.43553,2.24,309.52,2026-09-05 01:11
-6.12692,105.43117,2.24,309.92,2026-09-05 01:11
-6.1268,105.45359,1.75,308.99,2026-09-05 01:11
-6.12609,105.44923,1.75,310.64,2026-09-05 01:11
-6.12466,105.44051,3.69,311.36,2026-09-05 01:11
-6.12395,105.43615,2.24,316.9,2026-09-05 01:11
-6.12323,105.43178,2.24,316.37,2026-09-05 01:11
-6.11883,105.42802,3.45,320.22,2026-09-05 01:11
-6.12538,105.44488,3.69,311.33,2026-09-05 01:11
-6.11719,105.46414,1.92,308.34,2026-09-05 01:11
-6.10982,105.46536,2.75,308.89,2026-09-05 01:11
-6.11811,105.42365,3.45,313.05,2026-09-05 01:11
-6.11073,105.42487,6.35,329.86,2026-09-05 01:11
-6.11145,105.42925,6.35,334.11,2026-09-05 01:11
-6.11279,105.4604,1.92,311.71,2026-09-05 01:11
-6.11003,105.42062,6.05,318.98,2026-09-05 01:11
-6.11442,105.42426,3.45,325.29,2026-09-05 01:11
-6.11514,105.42863,3.45,330.97,2026-09-05 01:11
-6.11647,105.45979,1.92,310.72,2026-09-05 01:11
-6.10128,105.38129,1.04,306.47,2026-09-06 00:52
-6.09907,105.39196,1.63,319.83,2026-09-06 00:52
-6.09958,105.39497,1.75,321.22,2026-09-06 00:52
-6.10008,105.39787,1.75,323.83,2026-09-06 00:52
-6.10058,105.40079,1.6,322.13,2026-09-06 00:52
-6.1006,105.43134,1.61,310.88,2026-09-06 00:52
-6.10105,105.43397,1.61,305.83,2026-09-06 00:52
-6.10108,105.40374,1.6,313.68,2026-09-06 00:52
-6.09863,105.3894,1.63,319.33,2026-09-06 00:52
-6.10178,105.38407,1.04,314.15,2026-09-06 00:52
-6.1072,105.37865,0.66,301.48,2026-09-06 00:52
-6.10265,105.38249,1.16,312.79,2026-09-06 00:52
-6.10311,105.38516,1.16,317.77,2026-09-06 00:52
-6.1046,105.42901,2.53,326.47,2026-09-06 00:52
-6.10507,105.43167,2.53,313.61,2026-09-06 00:52
-6.10555,105.43432,1.1,307.62,2026-09-06 00:52
-6.10564,105.43051,1.61,317.14,2026-09-06 00:52
-6.10607,105.43723,1.1,303.64,2026-09-06 00:52
